mechanism,signal,n_runs,gain_mean,gain_ci_low,gain_ci_high,control_steps_mean,control_steps_ci_low,control_steps_ci_high,unnecessary_takeovers_mean,unnecessary_takeovers_ci_low,unnecessary_takeovers_ci_high,precision_mean,precision_ci_low,precision_ci_high,requests_mean,requests_ci_low,requests_ci_high,request_precision_mean,request_precision_ci_low,request_precision_ci_high
C1_none,none,3,0.47666666666666674,0.41,0.55,343.3333333333333,324.0,366.0,3.6666666666666665,2.0,5.0,0.8681657848324514,0.8214285714285715,0.9259259259259259,0.0,0.0,0.0,,,
C2_uncertainty,ensemble,3,0.4633333333333334,0.41,0.53,363.3333333333333,351.0,377.0,2.6666666666666665,1.0,5.0,0.8993013159679827,0.8076923076923078,0.9642857142857143,0.0,0.0,0.0,,,
C2_uncertainty,random,3,0.31,0.010000000000000009,0.49,359.6666666666667,338.0,384.0,4.333333333333333,3.0,6.0,0.8439153439153438,0.7857142857142857,0.8888888888888888,0.0,0.0,0.0,,,
C2_uncertainty,risk,3,0.4366666666666667,0.31000000000000005,0.57,337.6666666666667,319.0,354.0,2.3333333333333335,2.0,3.0,0.9161345253299277,0.896551724137931,0.9259259259259259,0.0,0.0,0.0,,,
C4_request,ensemble,3,0.51,0.41,0.57,368.3333333333333,334.0,409.0,3.6666666666666665,2.0,5.0,0.8667616334283,0.8076923076923078,0.9259259259259259,37.0,34.0,41.0,0.9021164021164022,0.7777777777777778,1.0
C4_request,random,3,0.31666666666666665,0.04999999999999999,0.55,340.6666666666667,314.0,381.0,2.3333333333333335,2.0,3.0,0.9082469254883048,0.8846153846153846,0.9310344827586207,9.0,8.0,11.0,1.0,1.0,1.0
C4_request,risk,3,0.19666666666666668,-0.25,0.55,351.6666666666667,313.0,373.0,4.0,2.0,6.0,0.8614097968936679,0.8064516129032256,0.9259259259259259,27.666666666666668,26.0,30.0,0.9027777777777778,0.8333333333333334,1.0
C6_full,ensemble,3,0.29000000000000004,0.17000000000000004,0.41,362.6666666666667,351.0,377.0,3.3333333333333335,1.0,5.0,0.876784135404825,0.8076923076923078,0.9655172413793104,29.333333333333332,27.0,33.0,1.0,1.0,1.0
C6_full,random,3,0.43,0.38999999999999996,0.49,357.3333333333333,303.0,407.0,4.333333333333333,2.0,7.0,0.8381834215167547,0.7407407407407408,0.9166666666666666,9.333333333333334,8.0,11.0,0.6666666666666666,0.0,1.0
C6_full,risk,3,0.4033333333333333,0.17000000000000004,0.53,350.3333333333333,321.0,391.0,3.0,2.0,5.0,0.8886164325244784,0.8148148148148148,0.9310344827586207,21.666666666666668,21.0,23.0,0.9333333333333332,0.8000000000000002,1.0
