skill,mechanism,gain,final_success,control_steps,attend_steps,unnecessary_takeovers,precision,trust_sq_error
better,C1_none,0.477,0.847,345.964,197.509,4.091,0.858,0.188
better,C2_uncertainty,0.462,0.832,339.127,220.091,3.836,0.862,0.176
better,C3_intent,0.473,0.843,354.545,173.691,4.545,0.846,0.184
better,C4_request,0.507,0.877,345.345,155.491,5.291,0.812,0.202
better,C5_thrifty,0.461,0.831,388.8,118.727,6.109,0.808,0.217
better,C6_full,0.483,0.853,332.2,180.891,4.0,0.852,0.176
better,HG_DAgger,0.349,0.719,226.727,352.164,5.655,0.795,0.102
okay,C1_none,0.385,0.755,367.691,156.109,4.109,0.863,0.151
okay,C2_uncertainty,0.376,0.746,357.709,175.764,4.145,0.85,0.16
okay,C3_intent,0.379,0.749,384.927,137.909,4.309,0.858,0.161
okay,C4_request,0.372,0.742,364.891,116.527,3.964,0.86,0.155
okay,C5_thrifty,0.344,0.714,417.8,84.491,5.127,0.844,0.192
okay,C6_full,0.391,0.761,349.945,122.527,3.327,0.879,0.144
okay,HG_DAgger,0.311,0.681,244.673,273.745,4.218,0.82,0.088
worse,C1_none,0.105,0.475,360.836,169.0,2.655,0.913,0.084
worse,C2_uncertainty,0.138,0.508,360.473,184.855,2.582,0.914,0.098
worse,C3_intent,0.147,0.517,373.255,145.309,2.764,0.914,0.091
worse,C4_request,0.199,0.569,350.855,136.618,2.6,0.907,0.077
worse,C5_thrifty,0.087,0.457,383.218,108.636,3.709,0.883,0.104
worse,C6_full,0.227,0.597,345.709,147.073,2.418,0.912,0.097
worse,HG_DAgger,0.076,0.446,291.309,277.364,2.945,0.893,0.078
