,coef,se,z,p,lo,hi
Intercept,0.47655,0.02815,16.9277,0.0,0.42137,0.53172
M[C2_uncertainty],-0.01455,0.03323,-0.43775,0.66157,-0.07967,0.05058
M[C3_intent],-0.004,0.03323,-0.12038,0.90418,-0.06913,0.06113
M[C4_request],0.03018,0.03323,0.90833,0.3637,-0.03494,0.09531
M[C5_thrifty],-0.01527,0.03323,-0.45964,0.64578,-0.0804,0.04985
M[C6_full],0.00618,0.03323,0.18604,0.85241,-0.05894,0.07131
M[HG_DAgger],-0.128,0.03323,-3.85221,0.00012,-0.19313,-0.06287
S[okay],-0.09164,0.03981,-2.30169,0.02135,-0.16967,-0.0136
S[worse],-0.37164,0.03981,-9.33463,0.0,-0.44967,-0.2936
M[C2_uncertainty]:S[okay],0.00545,0.04699,0.11608,0.90759,-0.08665,0.09756
M[C3_intent]:S[okay],-0.00218,0.04699,-0.04643,0.96297,-0.09428,0.08992
M[C4_request]:S[okay],-0.04327,0.04699,-0.92087,0.35712,-0.13537,0.04883
M[C5_thrifty]:S[okay],-0.02582,0.04699,-0.54943,0.58271,-0.11792,0.06628
M[C6_full]:S[okay],-0.00036,0.04699,-0.00774,0.99383,-0.09246,0.09174
M[HG_DAgger]:S[okay],0.05382,0.04699,1.14529,0.25209,-0.03828,0.14592
M[C2_uncertainty]:S[worse],0.048,0.04699,1.02147,0.30703,-0.0441,0.1401
M[C3_intent]:S[worse],0.04655,0.04699,0.99052,0.32192,-0.04556,0.13865
M[C4_request]:S[worse],0.06364,0.04699,1.35422,0.17567,-0.02846,0.15574
M[C5_thrifty]:S[worse],-0.00218,0.04699,-0.04643,0.96297,-0.09428,0.08992
M[C6_full]:S[worse],0.11564,0.04699,2.46082,0.01386,0.02354,0.20774
M[HG_DAgger]:S[worse],0.09891,0.04699,2.10485,0.0353,0.00681,0.19101
Group Var,0.08713,0.03028,2.87771,0.00401,0.02779,0.14647
