mechanism,metric,n_pairs,mean_diff,ci_low,ci_high,p_perm,p_holm,skill
C2_uncertainty,gain,55,-0.014545454545454554,-0.0629090909090909,0.03200000000000001,0.5476,1.0,better
C4_request,gain,55,0.03018181818181817,-0.011636363636363646,0.07454545454545454,0.1847,0.9235,better
C5_thrifty,gain,55,-0.01527272727272727,-0.0530909090909091,0.02290909090909092,0.4485,1.0,better
C6_full,gain,55,0.006181818181818179,-0.03928181818181819,0.05163636363636363,0.8022,1.0,better
C2_uncertainty,final_success,55,-0.014545454545454554,-0.0629090909090909,0.03200000000000001,0.5455,1.0,better
C4_request,final_success,55,0.030181818181818178,-0.011636363636363639,0.07454545454545454,0.1843,0.9215,better
C5_thrifty,final_success,55,-0.01527272727272727,-0.05309090909090909,0.022909090909090907,0.447,1.0,better
C6_full,final_success,55,0.006181818181818178,-0.039281818181818196,0.051636363636363626,0.8019,1.0,better
C2_uncertainty,control_steps,55,-6.836363636363636,-16.236818181818183,2.8,0.1654,0.3308,better
C4_request,control_steps,55,-0.6181818181818182,-10.073181818181817,8.58272727272726,0.9,0.9,better
C5_thrifty,control_steps,55,42.836363636363636,34.653636363636366,50.345454545454544,0.0,0.0,better
C6_full,control_steps,55,-13.763636363636364,-23.03681818181818,-4.345000000000007,0.0063,0.0252,better
C2_uncertainty,auc_success,55,-0.006363636363636381,-0.04363636363636367,0.03152272727272717,0.7416,1.0,better
C4_request,auc_success,55,0.0030303030303030156,-0.0290909090909091,0.03454545454545453,0.8621,1.0,better
C5_thrifty,auc_success,55,0.02060606060606059,-0.011825757575757597,0.05363636363636362,0.2458,1.0,better
C6_full,auc_success,55,0.009090909090909071,-0.018787878787878794,0.04030303030303027,0.5648,1.0,better
C2_uncertainty,gain,55,-0.009090909090909066,-0.07454545454545451,0.05163636363636365,0.7907,1.0,okay
C4_request,gain,55,-0.013090909090909075,-0.07527272727272727,0.04509999999999991,0.6836,1.0,okay
C5_thrifty,gain,55,-0.041090909090909095,-0.09672727272727272,0.012363636363636365,0.1486,0.7430000000000001,okay
C6_full,gain,55,0.0058181818181818334,-0.0567272727272727,0.06546363636363627,0.8571,1.0,okay
C2_uncertainty,final_success,55,-0.009090909090909097,-0.07454545454545454,0.05163636363636364,0.779,1.0,okay
C4_request,final_success,55,-0.013090909090909082,-0.07527272727272727,0.04509999999999989,0.684,1.0,okay
C5_thrifty,final_success,55,-0.04109090909090909,-0.0967272727272727,0.012363636363636356,0.1504,0.752,okay
C6_full,final_success,55,0.005818181818181827,-0.0567272727272727,0.06546363636363625,0.8569,1.0,okay
C2_uncertainty,control_steps,55,-9.981818181818182,-19.490909090909092,-0.781363636363643,0.0451,0.0902,okay
C4_request,control_steps,55,-2.8,-12.981818181818182,7.745909090909084,0.6033,0.6033,okay
C5_thrifty,control_steps,55,50.10909090909091,41.127272727272725,59.7640909090909,0.0,0.0,okay
C6_full,control_steps,55,-17.745454545454546,-27.945454545454545,-7.6540909090909155,0.0011,0.0044,okay
C2_uncertainty,auc_success,55,0.012424242424242423,-0.0193939393939394,0.044553030303030206,0.4811,1.0,okay
C4_request,auc_success,55,-0.002424242424242439,-0.038492424242424265,0.033946969696969594,0.8933,1.0,okay
C5_thrifty,auc_success,55,-0.0027272727272727457,-0.041818181818181845,0.03454545454545453,0.8754,1.0,okay
C6_full,auc_success,55,-0.008484848484848491,-0.04181818181818184,0.024242424242424235,0.6173,1.0,okay
C2_uncertainty,gain,55,0.03345454545454543,-0.03636363636363637,0.0985454545454545,0.3315,0.9945,worse
C4_request,gain,55,0.09381818181818179,0.032,0.15418181818181811,0.0045,0.0225,worse
C5_thrifty,gain,55,-0.01745454545454547,-0.096,0.05746363636363622,0.6465,1.0,worse
C6_full,gain,55,0.12181818181818181,0.05599999999999999,0.18763636363636357,0.0013,0.0078,worse
C2_uncertainty,final_success,55,0.033454545454545466,-0.03636363636363636,0.09854545454545455,0.3243,0.9728999999999999,worse
C4_request,final_success,55,0.09381818181818181,0.031999999999999994,0.15418181818181817,0.0045,0.0225,worse
C5_thrifty,final_success,55,-0.017454545454545462,-0.096,0.057463636363636224,0.6484,1.0,worse
C6_full,final_success,55,0.12181818181818184,0.056,0.18763636363636357,0.0011,0.0066,worse
C2_uncertainty,control_steps,55,-0.36363636363636365,-8.927272727272728,8.164090909090904,0.9395,0.9395,worse
C4_request,control_steps,55,-9.981818181818182,-20.418181818181818,0.25499999999999334,0.0667,0.1334,worse
C5_thrifty,control_steps,55,22.381818181818183,12.4,32.41818181818182,0.0,0.0,worse
C6_full,control_steps,55,-15.127272727272727,-27.727272727272727,-2.4909090909090907,0.0215,0.0645,worse
C2_uncertainty,auc_success,55,0.024848484848484842,-0.008787878787878779,0.05969696969696968,0.1696,0.848,worse
C4_request,auc_success,55,0.018787878787878787,-0.012727272727272726,0.050916666666666575,0.2534,0.848,worse
C5_thrifty,auc_success,55,0.013333333333333329,-0.024545454545454547,0.04999999999999998,0.4846,0.9692,worse
C6_full,auc_success,55,0.03939393939393939,-0.0024242424242424338,0.0815151515151515,0.0741,0.4446,worse
