mechanism,metric,n_pairs,mean_diff,ci_low,ci_high,p_perm,p_holm
C2_uncertainty,gain,165,0.0032727272727272687,-0.030790909090909088,0.037454545454545456,0.854,0.9956
C3_intent,gain,165,0.010787878787878786,-0.019881818181818178,0.04024242424242424,0.4978,0.9956
C4_request,gain,165,0.036969696969696965,0.004481818181818186,0.06872727272727272,0.0275,0.11
C5_thrifty,gain,165,-0.02460606060606061,-0.05745757575757576,0.009093939393939349,0.1484,0.44520000000000004
C6_full,gain,165,0.0446060606060606,0.009209090909090908,0.07830606060606057,0.0116,0.057999999999999996
HG_DAgger,gain,165,-0.07709090909090908,-0.12206363636363636,-0.03309090909090909,0.0004,0.0024000000000000002
C2_uncertainty,final_success,165,0.0032727272727272687,-0.030790909090909088,0.037454545454545456,0.854,0.9956
C3_intent,final_success,165,0.010787878787878786,-0.019881818181818178,0.04024242424242424,0.4978,0.9956
C4_request,final_success,165,0.036969696969696965,0.004481818181818186,0.06872727272727272,0.0275,0.11
C5_thrifty,final_success,165,-0.02460606060606061,-0.05745757575757576,0.00909393939393935,0.1487,0.4461
C6_full,final_success,165,0.0446060606060606,0.009209090909090908,0.07830606060606057,0.0116,0.057999999999999996
HG_DAgger,final_success,165,-0.07709090909090908,-0.12206363636363636,-0.03309090909090909,0.0004,0.0024000000000000002
C2_uncertainty,auc_success,165,0.010303030303030293,-0.010303030303030317,0.030303030303030293,0.3307,1.0
C3_intent,auc_success,165,-0.003232323232323231,-0.024949494949494957,0.017679292929292895,0.7785,1.0
C4_request,auc_success,165,0.006464646464646455,-0.012525252525252535,0.025959595959595936,0.5175,1.0
C5_thrifty,auc_success,165,0.010404040404040391,-0.009494949494949506,0.030909090909090896,0.3389,1.0
C6_full,auc_success,165,0.01333333333333332,-0.006262626262626277,0.034747474747474735,0.2071,1.0
HG_DAgger,auc_success,165,-0.04606060606060607,-0.07787878787878788,-0.016363636363636382,0.0026,0.0156
C2_uncertainty,control_steps,165,-5.7272727272727275,-11.012272727272727,-0.587727272727275,0.0363,0.0726
C3_intent,control_steps,165,12.745454545454546,7.278484848484848,18.242575757575754,0.0,0.0
C4_request,control_steps,165,-4.466666666666667,-10.436363636363636,1.418636363636357,0.1408,0.1408
C5_thrifty,control_steps,165,38.442424242424245,32.76969696969697,44.04242424242424,0.0,0.0
C6_full,control_steps,165,-15.545454545454545,-21.916363636363634,-9.429393939393952,0.0,0.0
HG_DAgger,control_steps,165,-103.92727272727272,-112.07287878787879,-95.86060606060606,0.0,0.0
C2_uncertainty,attend_steps,165,19.363636363636363,14.048181818181819,24.636515151515148,0.0,0.0
C3_intent,attend_steps,165,-21.903030303030302,-25.612121212121213,-18.102727272727275,0.0,0.0
C4_request,attend_steps,165,-37.99393939393939,-43.194242424242425,-32.95151515151515,0.0,0.0
C5_thrifty,attend_steps,165,-70.25454545454545,-75.83075757575757,-64.94530303030304,0.0,0.0
C6_full,attend_steps,165,-24.042424242424243,-29.872878787878786,-18.272727272727273,0.0,0.0
HG_DAgger,attend_steps,165,126.88484848484849,118.02909090909091,136.20075757575756,0.0,0.0
