group,budget,reliance,n_runs,gain_mean,gain_ci_low,gain_ci_high,control_steps_mean,control_steps_ci_low,control_steps_ci_high,requests_mean,requests_ci_low,requests_ci_high,request_precision_mean,request_precision_ci_low,request_precision_ci_high,unnecessary_takeovers_mean,unnecessary_takeovers_ci_low,unnecessary_takeovers_ci_high
typical_better,0.1,0.0,3,0.44333333333333336,0.31000000000000005,0.51,524.0,497.0,556.0,13.333333333333334,13.0,14.0,,,,6.666666666666667,6.0,8.0
typical_better,0.1,0.3,3,0.3833333333333333,0.13,0.55,530.0,512.0,554.0,18.666666666666668,14.0,21.0,0.7222222222222222,0.4444444444444444,1.0,11.333333333333334,6.0,18.0
typical_better,0.1,0.6,3,0.5633333333333334,0.51,0.61,438.6666666666667,392.0,473.0,19.666666666666668,17.0,21.0,0.8518518518518517,0.5555555555555556,1.0,8.0,4.0,13.0
typical_better,0.2,0.0,3,0.45,0.32999999999999996,0.51,518.3333333333334,480.0,556.0,15.666666666666666,14.0,17.0,1.0,,,6.333333333333333,6.0,7.0
typical_better,0.2,0.3,3,0.5433333333333333,0.47,0.63,522.3333333333334,501.0,539.0,20.333333333333332,17.0,23.0,0.6666666666666666,0.0,1.0,10.0,7.0,12.0
typical_better,0.2,0.6,3,0.57,0.55,0.59,477.3333333333333,447.0,497.0,20.0,18.0,23.0,0.9090909090909092,0.7272727272727272,1.0,8.0,5.0,10.0
typical_better,0.3,0.0,3,0.41,0.22999999999999998,0.51,532.0,516.0,561.0,18.333333333333332,14.0,22.0,1.0,1.0,1.0,7.333333333333333,6.0,8.0
typical_better,0.3,0.3,3,0.49,0.47,0.53,517.6666666666666,501.0,546.0,22.666666666666668,20.0,27.0,0.6666666666666666,0.0,1.0,8.666666666666666,7.0,10.0
typical_better,0.3,0.6,3,0.5633333333333334,0.47,0.63,467.0,444.0,495.0,23.0,16.0,29.0,0.6964285714285715,0.375,1.0,7.0,3.0,10.0
typical_okay,0.1,0.0,3,0.43,0.27,0.55,352.3333333333333,340.0,366.0,19.0,15.0,21.0,1.0,,,5.0,4.0,6.0
typical_okay,0.1,0.3,3,0.27666666666666667,-0.15,0.51,323.0,313.0,330.0,22.0,20.0,23.0,0.9583333333333334,0.875,1.0,4.666666666666667,2.0,8.0
typical_okay,0.1,0.6,3,0.33666666666666667,0.27,0.38999999999999996,327.0,311.0,358.0,22.333333333333332,16.0,26.0,0.9523809523809524,0.8571428571428571,1.0,3.3333333333333335,1.0,5.0
typical_okay,0.2,0.0,3,0.43,0.15000000000000002,0.59,376.6666666666667,352.0,412.0,22.333333333333332,21.0,24.0,0.7333333333333334,0.6666666666666666,0.8,5.333333333333333,4.0,6.0
typical_okay,0.2,0.3,3,0.19666666666666668,-0.25,0.55,351.6666666666667,313.0,373.0,27.666666666666668,26.0,30.0,0.9027777777777778,0.8333333333333334,1.0,4.0,2.0,6.0
typical_okay,0.2,0.6,3,0.4766666666666666,0.44999999999999996,0.53,338.6666666666667,305.0,361.0,21.666666666666668,18.0,25.0,0.7414021164021164,0.5714285714285714,0.875,4.666666666666667,4.0,5.0
typical_okay,0.3,0.0,3,0.4366666666666667,0.32999999999999996,0.51,347.3333333333333,344.0,353.0,26.0,23.0,28.0,0.4666666666666666,0.0,0.8000000000000002,5.666666666666667,4.0,8.0
typical_okay,0.3,0.3,3,0.35000000000000003,0.17000000000000004,0.47,332.0,300.0,359.0,24.333333333333332,19.0,32.0,0.9583333333333334,0.875,1.0,4.0,2.0,6.0
typical_okay,0.3,0.6,3,0.4566666666666667,0.3499999999999999,0.53,343.3333333333333,325.0,369.0,28.333333333333332,27.0,31.0,0.9166666666666666,0.75,1.0,2.6666666666666665,1.0,4.0
typical_worse,0.1,0.0,3,0.2633333333333333,-0.010000000000000009,0.44999999999999996,252.0,209.0,281.0,20.666666666666668,16.0,24.0,1.0,1.0,1.0,1.3333333333333333,0.0,3.0
typical_worse,0.1,0.3,3,0.11000000000000003,-0.02999999999999997,0.29000000000000004,252.0,242.0,265.0,18.666666666666668,16.0,20.0,1.0,1.0,1.0,1.6666666666666667,0.0,3.0
typical_worse,0.1,0.6,3,0.42333333333333334,0.36999999999999994,0.44999999999999996,246.0,241.0,251.0,21.0,20.0,22.0,0.9629629629629629,0.8888888888888888,1.0,1.6666666666666667,0.0,3.0
typical_worse,0.2,0.0,3,0.30333333333333334,0.04999999999999999,0.53,270.6666666666667,246.0,304.0,21.666666666666668,21.0,23.0,0.9523809523809524,0.8571428571428571,1.0,1.3333333333333333,0.0,2.0
typical_worse,0.2,0.3,3,0.10333333333333335,-0.07,0.31000000000000005,261.6666666666667,249.0,271.0,19.333333333333332,17.0,23.0,1.0,1.0,1.0,1.6666666666666667,0.0,3.0
typical_worse,0.2,0.6,3,0.3833333333333333,0.29000000000000004,0.51,251.0,224.0,279.0,24.0,23.0,25.0,0.8592592592592593,0.7777777777777778,1.0,2.3333333333333335,1.0,4.0
typical_worse,0.3,0.0,3,0.25666666666666665,0.13,0.41,260.6666666666667,229.0,285.0,22.0,21.0,23.0,1.0,1.0,1.0,0.6666666666666666,0.0,2.0
typical_worse,0.3,0.3,3,0.3633333333333333,0.20999999999999996,0.53,270.6666666666667,242.0,297.0,21.0,19.0,25.0,0.9444444444444445,0.8333333333333334,1.0,1.3333333333333333,0.0,3.0
typical_worse,0.3,0.6,3,0.3833333333333333,0.27,0.55,279.0,262.0,293.0,23.0,21.0,25.0,0.9722222222222222,0.9166666666666666,1.0,1.0,0.0,2.0
