n,mean,ci_low,ci_high,p_perm,tier,mechanism,p_holm_within_tier
11,0.03345454545454545,-0.03564545454545454,0.10109999999999988,0.3893,worse,C2_uncertainty,1.0
11,0.042545454545454525,-0.016727272727272733,0.10618181818181816,0.23595,worse,C3_intent,0.9438
11,0.09381818181818184,0.016727272727272716,0.17345454545454542,0.0536,worse,C4_request,0.268
11,-0.017454545454545455,-0.08436363636363636,0.047272727272727265,0.6394,worse,C5_thrifty,1.0
11,0.12181818181818178,0.0341818181818182,0.2105545454545453,0.0289,worse,C6_full,0.1734
11,-0.029090909090909098,-0.10836363636363636,0.05163636363636362,0.4919,worse,HG_DAgger,1.0
11,-0.009090909090909073,-0.06072727272727272,0.055636363636363664,0.8157,okay,C2_uncertainty,1.0
11,-0.006181818181818167,-0.039272727272727244,0.02581818181818184,0.7265,okay,C3_intent,1.0
11,-0.01309090909090907,-0.0749090909090909,0.045463636363636276,0.70185,okay,C4_request,1.0
11,-0.041090909090909095,-0.08545454545454545,0.0018181818181818197,0.11875,okay,C5_thrifty,0.59375
11,0.005818181818181823,-0.03636363636363638,0.04763636363636366,0.8061,okay,C6_full,1.0
11,-0.07418181818181818,-0.13636363636363633,-0.009090909090909073,0.05685,okay,HG_DAgger,0.34109999999999996
11,-0.014545454545454549,-0.05054545454545455,0.022545454545454566,0.4712,better,C2_uncertainty,1.0
11,-0.003999999999999998,-0.03890909090909094,0.033818181818181844,0.8584,better,C3_intent,1.0
11,0.030181818181818188,-0.002545454545454578,0.06254545454545458,0.1289,better,C4_request,0.6445
11,-0.015272727272727292,-0.04690909090909092,0.015999999999999973,0.3912,better,C5_thrifty,1.0
11,0.006181818181818167,-0.027636363636363667,0.03709090909090906,0.7514,better,C6_full,1.0
11,-0.128,-0.15600909090909096,-0.09963636363636365,0.0006,better,HG_DAgger,0.0036
