n,mean,ci_low,ci_high,p_perm,metric,mechanism,p_holm_within_metric
33,0.0032727272727272774,-0.029090909090909098,0.038060606060606066,0.8572571371431429,gain,C2_uncertainty,0.9347532623368832
33,0.010787878787878789,-0.01624545454545455,0.03976060606060603,0.4673766311684416,gain,C3_intent,0.9347532623368832
33,0.03696969696969698,-0.0009696969696969575,0.07684848484848485,0.07074646267686616,gain,C4_request,0.2829858507074646
33,-0.024606060606060614,-0.05382121212121214,0.0038787878787878627,0.11234438278086095,gain,C5_thrifty,0.33703314834258286
33,0.0446060606060606,0.007151515151515139,0.0864242424242424,0.03239838008099595,gain,C6_full,0.16199190040497974
33,-0.0770909090909091,-0.11321212121212122,-0.03708787878787882,0.0007499625018749063,gain,HG_DAgger,0.004499775011249438
33,0.003272727272727257,-0.029090909090909108,0.03806060606060604,0.8572571371431429,final_success,C2_uncertainty,0.9347532623368832
33,0.010787878787878773,-0.016245454545454573,0.03976060606060602,0.4673766311684416,final_success,C3_intent,0.9347532623368832
33,0.036969696969696965,-0.0009696969696969778,0.07684848484848485,0.07074646267686616,final_success,C4_request,0.2829858507074646
33,-0.024606060606060614,-0.05382121212121214,0.0038787878787878726,0.11234438278086095,final_success,C5_thrifty,0.33703314834258286
33,0.04460606060606061,0.007151515151515163,0.08642424242424242,0.03239838008099595,final_success,C6_full,0.16199190040497974
33,-0.07709090909090908,-0.11321212121212122,-0.037087878787878836,0.0007499625018749063,final_success,HG_DAgger,0.004499775011249438
33,-5.727272727272731,-11.22424242424242,-0.24242424242424582,0.05249737513124344,control_steps,C2_uncertainty,0.10499475026248688
33,12.745454545454542,6.915151515151518,18.351818181818178,0.0002999850007499625,control_steps,C3_intent,0.00119994000299985
33,-4.466666666666669,-11.703181818181823,2.327272727272726,0.22783860806959652,control_steps,C4_request,0.22783860806959652
33,38.442424242424245,30.59984848484849,46.17621212121212,4.999750012499375e-05,control_steps,C5_thrifty,0.0002999850007499625
33,-15.545454545454545,-23.866666666666664,-7.824242424242428,0.00044997750112494374,control_steps,C6_full,0.0013499325033748313
33,-103.92727272727272,-114.95181818181818,-93.19393939393939,4.999750012499375e-05,control_steps,HG_DAgger,0.0002999850007499625
33,19.363636363636363,14.048181818181815,24.933333333333334,4.999750012499375e-05,attend_steps,C2_uncertainty,0.0002999850007499625
33,-21.903030303030302,-26.606060606060602,-17.13909090909091,9.99950002499875e-05,attend_steps,C3_intent,0.0002999850007499625
33,-37.99393939393939,-46.97,-29.175757575757576,4.999750012499375e-05,attend_steps,C4_request,0.0002999850007499625
33,-70.25454545454545,-80.86060606060605,-60.406060606060606,4.999750012499375e-05,attend_steps,C5_thrifty,0.0002999850007499625
33,-24.042424242424243,-34.14560606060606,-14.53318181818182,4.999750012499375e-05,attend_steps,C6_full,0.0002999850007499625
33,126.88484848484848,112.92121212121212,141.35151515151514,4.999750012499375e-05,attend_steps,HG_DAgger,0.0002999850007499625
33,-0.9939393939393942,-1.4971212121212132,-0.5030303030303032,0.00044997750112494374,takeovers,C2_uncertainty,0.0008999550022498875
33,0.9151515151515148,0.49090909090909035,1.345606060606059,0.000199990000499975,takeovers,C3_intent,0.000599970001499925
33,-0.4545454545454551,-1.0910606060606074,0.11515151515151474,0.168141592920354,takeovers,C4_request,0.168141592920354
33,3.2909090909090897,2.624242424242423,3.9395454545454522,4.999750012499375e-05,takeovers,C5_thrifty,0.0002999850007499625
33,-1.8424242424242427,-2.515151515151516,-1.2181818181818191,4.999750012499375e-05,takeovers,C6_full,0.0002999850007499625
33,-6.618181818181819,-7.345454545454547,-5.8545454545454545,4.999750012499375e-05,takeovers,HG_DAgger,0.0002999850007499625
33,-1.9878787878787885,-2.9942424242424264,-1.0060606060606063,0.00044997750112494374,context_switches,C2_uncertainty,0.0008999550022498875
33,1.8303030303030297,0.9818181818181807,2.691212121212118,0.000199990000499975,context_switches,C3_intent,0.000599970001499925
33,-0.9090909090909102,-2.182121212121215,0.23030303030302948,0.168141592920354,context_switches,C4_request,0.168141592920354
33,6.581818181818179,5.248484848484846,7.8790909090909045,4.999750012499375e-05,context_switches,C5_thrifty,0.0002999850007499625
33,-3.6848484848484855,-5.030303030303032,-2.4363636363636383,4.999750012499375e-05,context_switches,C6_full,0.0002999850007499625
33,-13.236363636363638,-14.690909090909093,-11.709090909090909,4.999750012499375e-05,context_switches,HG_DAgger,0.0002999850007499625
33,-0.09696969696969694,-0.5757575757575757,0.37575757575757585,0.7220638968051597,unnecessary_takeovers,C2_uncertainty,0.9304034798260086
33,0.2545454545454545,-0.1939393939393939,0.7333333333333334,0.3101344932753362,unnecessary_takeovers,C3_intent,0.9304034798260086
33,0.33333333333333337,-0.15151515151515146,0.7939393939393941,0.19474026298685065,unnecessary_takeovers,C4_request,0.7789610519474026
33,1.3636363636363635,0.7878787878787878,1.9272727272727272,9.99950002499875e-05,unnecessary_takeovers,C5_thrifty,0.000599970001499925
33,-0.36969696969696975,-0.812121212121212,0.060606060606060566,0.12404379781010949,unnecessary_takeovers,C6_full,0.6202189890505474
33,0.6545454545454545,-0.3575757575757575,1.9696969696969697,0.3241337933103345,unnecessary_takeovers,HG_DAgger,0.9304034798260086
33,-0.002788530148167402,-0.018786206487987164,0.012496903405922204,0.736363181840908,precision,C2_uncertainty,1.0
33,-0.0052866529965969085,-0.01971038108489878,0.008732522306144021,0.4759762011899405,precision,C3_intent,1.0
33,-0.018016256527350977,-0.033891274499868666,-0.0016972890681900608,0.037648117594120296,precision,C4_request,0.15059247037648119
33,-0.0327341897336938,-0.05003665689687794,-0.015748906681759905,0.0007999600019999,precision,C5_thrifty,0.0047997600119994
33,0.0032223244666030344,-0.011360752098459811,0.01715840325212615,0.6688665566721664,precision,C6_full,1.0
33,-0.04177955853048598,-0.0783536502599922,-0.010405092786921928,0.01574921253937303,precision,HG_DAgger,0.07874606269686515
33,0.00011489706277514804,-0.0011558793385333475,0.0014757336274271713,0.8832558372081396,recall,C2_uncertainty,1.0
33,-9.345830320531856e-05,-0.001438808123726705,0.0012028971383029699,0.8914054297285136,recall,C3_intent,1.0
33,0.0006730902935507754,-0.0003116474342391909,0.0018676178795403993,0.25333733313334333,recall,C4_request,1.0
33,0.007675055832702778,0.006092383409894612,0.009320119074158764,4.999750012499375e-05,recall,C5_thrifty,0.0002999850007499625
33,0.000404714387581522,-0.000560296853699362,0.0015758517841946934,0.47582620868956554,recall,C6_full,1.0
33,-0.0812267670074057,-0.09742658379119055,-0.06579794926816013,4.999750012499375e-05,recall,HG_DAgger,0.0002999850007499625
33,0.003757447459728653,-0.007169651865790804,0.014397927294839153,0.5123243837808109,trust_sq_error,C2_uncertainty,1.0
33,0.004528328845322158,-0.005655137443688164,0.014399218539214236,0.39968001599920006,trust_sq_error,C3_intent,1.0
33,0.003728106022456885,-0.0053481260791277685,0.012957336823670932,0.4352782360881956,trust_sq_error,C4_request,1.0
33,0.030072369860327745,0.016236513419748293,0.04329659713559277,0.00044997750112494374,trust_sq_error,C5_thrifty,0.0022498875056247186
33,-0.0018844094001551834,-0.013005244384741169,0.008945908225542138,0.743812809359532,trust_sq_error,C6_full,1.0
33,-0.05190235101914019,-0.0677008725563934,-0.035809017799753505,4.999750012499375e-05,trust_sq_error,HG_DAgger,0.0002999850007499625
33,0.0014027929725459176,-0.008279283085431124,0.011320942411167127,0.7880105994700265,gain_per_100_control,C2_uncertainty,1.0
33,-0.00045537359968593906,-0.008710726466917227,0.0083869015347886,0.9188540572971351,gain_per_100_control,C3_intent,1.0
